ID;Descrição;Preço em R$
148;HD Externo Portátil  Seagate, 320 Gigas;R$ 197,00
149;HD Seagate 20TB Skyhawk AI, 7200 RPM, SATA - ST20000VE002;R$ 5.993,99
150;HD WD Red Plus, 12TB, 7200 RPM, 256MB, 3.5, SATA - WD120EFBX;R$ 1.679,99
151;HD Western Digital 10TB Red Plus, 3.5 - WD101EFBXI;R$ 1.579,00
152;Adaptador Gaveta Rack Hd 3.5 Sata Baia Frontal, 1106ss-v1, Preto;R$ 200,51
153;Case para HD Externo 2,5 C3Tech, SATA, USB-C 3.0, Preto - CH-C300BK;R$ 74,99
154;HD Seagate 10TB Exos X18, 7200 RPM, 256MB, 3.5, SATA 3 - ST10000NM018G;R$ 2.139,35
155;HD Nas WD 6TB, Red Plus Sata, 6GBPS, 5640RPM, 256MB, 3.5 Polegadas, Western Digital - Wd60efpx;R$ 982,28
156;Case Para HD Knup, 2,5 Polegadas, Preto, Usb 3.0 - Kp-d001/b;R$ 11,66
157;HD Seagate 12TB IronWolf, NAS, 7200 RPM, Cachê 256MB, SATA 3 - ST12000VN0008;R$ 2.099,00
158;HD Seagate Ironwolf Pro, 12TB, NAS, 7200RPM, 256MB, 3.5 Pol, SATA 6 - ST12000NT001;R$ 2.104,50
159;Hd Seagate Ironwolf 2tb Nas Sata6, 5400rpm, 256mb - ST2000VN003;R$ 753,26
160;HD Seagate 2TB Barracuda, 7200 RPM, SATA III - ST2000DM008;R$ 650,10
161;HD Externo Seagate 4TB One Touch, 2.5p, HUB, USB 3.0 - STLC4000400;R$ 951,30
162;HD Western Digital Purple Surveillance 1TB, 3.5'' - Wd11purz;R$ 364,56
163;HD Externo Portátil ADATA 1TB HC660 Ultra Slim, USB 3.2, Cinza - AHC660-1TU31-CGY;R$ 295,00
164;HD Seagate 1TB Barracuda, Cachê 64 MB, 3.5, SATA, 6GB/s - ST1000DM010;R$ 488,41
165;Case Adaptador Universal 9.5mm - Segundo HD SSD Sata No Notebook - Caddy;R$ 24,90
166;HD Externo Portátil Seagate 5TB Expansion, 3.0, MAC E PC, USB - STKM5000400;R$ 969,00
167;Hd Para Pc Western Digital Wd Red Plus, 14TB, 7200rpm, 512MB/s, Nas Sata 3 - Wd140efgx 5475;R$ 2.354,67
168;HD Externo Portátil ADATA 2TB, Azul - AHD710P-2TU31-CBL;R$ 579,98
169;HD Externo Seagate FireCuda Gaming, 2TB, LED RGB, USB, Preto - STKL2000400;R$ 649,99
170;HD Seagate 16TB Skyhawk AI Hélio, 7200 RPM, 256MB, 3.5, SATA 3 - ST16000VE002;R$ 2.761,20
171;Case Adaptador Universal 9.5mm, Segundo HD, SSD, Sata No Notebook - Caddy;R$ 29,60
172;HD Externo 5TB WD Elements Portátil, USB 3.0, Antichoque, Preto - WDBU6Y0050BBK-WESN;R$ 749,99
173;Docking Station Wavlink Wl-st334ua Duplo 2.5'' & 3.5'', Clona Hdd E SSD, USB 3.0 E USB C;R$ 404,50
174;Disco Rigido Interno Netac, 960GB,SSD 3d Nand Sata3 6gbs 2.5 Polegadas;R$ 395,21
175;Adaptador Type C, Para HD e SSD, SATA 2.5, Orico - 20UTS-C3 - Preto;R$ 88,15
176;Storage Nas Asustor Lockerstor 6 Gen2 As6706t Intel Celeron N5105 Quad-core 2.0ghz 8GB So-dimm Ddr4 6 Baias 120TB Torre;R$ 6.326,01
177;HD Externo Lacie 2tb Rugged, Mini USB-c;R$ 934,10
178;HD Externo Western Digital 4TB Elements SE - WXB2D91OC1KP;R$ 720,00
179;HD Seagate 10TB Exos, 7200 RPM, 256MB, 3.5, SATA 3 - ST10000NM001G;R$ 3.708,45
180;HD Interno Seagate 8TB Barracuda - ST8000DM004;R$ 1.211,31
181;Cabo Adaptador Sata Iii Para Usb A 3.0 50cm -;R$ 70,68
182;HD Hitachi 3TB Servidor ES, SAS, 7200 RPM, Cachê 64MB, 7.2K - 0B26311;R$ 538,90
183;HD Externo Portátil ADATA 1TB HV620S, USB 3.2 - AHV620S-1TU31-CBK;R$ 397,71
184;HD Seagate 8TB Servidor Exos, 7.2K RPM - ST8000NM000A;R$ 1.940,00
185;HD Seagate 4TB SkyHawk, 5900 RPM, 3.5, SATA - ST4000VX007;R$ 1.118,16
186;Case HD 3.5 Sata USB 3.0 Preto - Knup;R$ 108,90
187;Storage Synology RS4021XS+ Rackstation, NAS 3.5, Intel Xeon D-1541, 16GB DDR4, ECC, UDIMM, 16 Baias, Sem HD;R$ 56.729,16
188;Storage Nas Asustor Lockerstor 4 Gen2 As6704t Intel Celeron N5105 Quad-core 2.0ghz 4GB So-dimm Ddr4 4 Baias 80TB Torre;R$ 5.326,11
189;HD Seagate 12TB Exos X16, 7.200 RPM, 256MB, 3.5 , SATA - ST12000NM001G;R$ 2.319,90
190;"Gaveta Case Pra HD Externo 2.5"", USB 2.0 Ch-200gy Cinza - C3tech";R$ 47,90
191;Case De Proteção Orico Para HD 3.5, Preto - PHF-35;R$ 139,60
192;HD Toshiba N300, 16TB, 7200 RPM, NAS, 3.5, SATA - HDWG31GXZSTA;R$ 2.399,99
193;HD Nas Wd, 3TB, Red Plus Sata, 6GBPS, 5400RPM, 128MB, 3.5 Polegadas - Wd30efzx;R$ 564,38
194;HD Seagate 20TB Servidor Exos X20, 7200 RPM, 256MB, 3.5, SATA, 6GB, 512E, 4KN - ST20000NM007D;R$ 3.347,10
195;HD Seagate 4TB Exos Enterprise, 7200 RPM, 256MB, 3.5, SATA 3, 7E10, 512N - ST4000NM001B;R$ 1.393,93
196;HD 16TB 256mb 7200rpm 3.5'', Exos X18 Nas St16000nm000j, Seagate;R$ 3.399,00
197;Synology Rail Kit Sliding Rks-02;R$ 1.178,84
198;HD Blue 500GB, Western Digital;R$ 261,84
199;Storage Qnap 4GB, NAS, 3.5, SATA, AMD Ryzen Embedded V1500B, 2.2 Ghz, SODIMM DDR4, 8 Baias, 6 e 3 GB/s - TS-873AEU-4G-US;R$ 11.406,12
200;HD Seagate 8TB Exos Servidor 7E10, SAS, 7200 RPM, 256MB, 3.5, 12GB/s, 512E, 4KN, SED - ST8000NM020B;R$ 1.890,60
201;HD Interno Seagate Exos X18, 16TB, Para Servidor, 7200RPM, 256MB, SATA 6GB/s - St16000nm000j;R$ 2.519,10
202;Dock Station Ugreen, SATA HDD/SSD 2.5/3.5, USB 3.0 - Função Clone Off-line;R$ 398,90
203;Case Para Hd Sata 2.5 F3 - Usb 3.0 - Transparente - Cs-u3t;R$ 34,00
204;Hd Seagate Ironwolf 1tb Nas Sata6, 5400rpm 256mb - ST1000VN008;R$ 476,07
205;HD Externo 1TB Adata À Prova dágua;R$ 377,10
206;Case Orico Protetora Para HD / SSD 3.5, Cinza - PHX35-V1;R$ 27,51
207;SSD Kingston, 480GB, Sa400s37/480g, Sata3;R$ 246,90
208;Capa Case Orico PHM-25 Protetora Para HD/SSD 2.5 Polegadas, Preto;R$ 35,00
209;HD Seagate Barracuda, 2TB, Sata3, 7200 Rpm - St2000dm008;R$ 489,50
210;HD Externo 1TB Toshiba Canvio Basics, USB 3.0 - Hdtb510xk3aa;R$ 332,41
211;HD Seagate 4TB Para Desktop Barracuda, 5400 RPM, 256MB, 3.5, SATA - ST4000DM004;R$ 637,23
212;HD Seagate 8TB SkyHawk, 7200 RPM, 256MB, 3.5, SATA 3 - ST8000VE001;R$ 2.141,99
213;HD Interno Seagate 12TB Skyhawk AI, 7200 RPM, 256 MB, 3.5 - ST12000VE0008;R$ 2.633,07
214;HD WD 4TB, Blue Sata, 5400RPM, 256MB, 3.5 Polegadas, Desktop - Wd40ezaz;R$ 614,36
215;Hd Western Digital Interno 160GB, Sata Ii;R$ 61,84
216;Storage Asustor 4GB, NAS, Quad Core J4105, DDR4, 4 Baias, Hot-swap - AS5304T;R$ 4.421,61
217;Storage Qnap 8GB, NAS, AMD Ryzen Embedded V1500B, 2.2Ghz, SODIMM DDR4, Torre 8x Baias, Sem HD - TS-873A-8G-US;R$ 8.182,71
218;Case Para HD Dex, SATA 2.5, USB 3.0, Transparente, Para PC;R$ 46,90
219;Adaptador Caddy F3, Para Segundo HD, SSD Para Apple Mac, Drive 9.5mm;R$ 39,90
220;Case Para HD Orico, SATA 2.5, Tipo-C, Preto - 2539C3-G2;R$ 196,80
221;HD Interno Seagate Pipeline, 500GB - St50312cs;R$ 189,91
222;SSD Externo Portátil, Sandisk, 480GB HD, USB Tipo A, USB Tipo C, Leitura: 520MB/s, Preto - SDSSDE30-480G-G25;R$ 533,93
223;HD Desktop Seagate Ironwolf Pro 18tb Nas Sata6 7200rpm, 256mb - ST18000NT001;R$ 3.210,27
224;HD Dell, 300GB, Sas, 3.5 15k.7 Pn F617n, 0f617n, St3300657ss;R$ 680,80
225;Dissipador De Calor Orico, Com Cooler Para SSD M.2 NVME/NGFF, Prata - M2HS8-FAN;R$ 243,26
226;HD Externo Toshiba 2TB Canvio Basics, Preto - Hdtb520xk3aai;R$ 585,76
227;HD Seagate BarraCuda, 1TB, 7.200 RPM, 128MB, 3.5', SATA - ST1000DM014;R$ 269,99
228;HD WD Blue, 1TB, 2.5´, Notebook, SATA - WD10SPZX;R$ 372,01
229;HD Seagate 6TB IronWolf, NAS - ST6000VN001;R$ 1.416,00
230;Case Para HD Knup Externa, SATA 3.5, Para PC, 3.5mm, USB 2.0;R$ 134,00
231;Case Para HD Exbom Externo, SATA 2.5, USB 3.0, Transparente, Slim - ECASE-300;R$ 44,90
232;Kit Trilhos Nas Qnap Rail-b02;R$ 684,81
233;HD Western Digital Interno 160GB Sata Ii;R$ 55,66
234;HD Externo Seagate 2TB Backup Plus Slim, 2.5, USB 3.0, Prata;R$ 506,76
235;HD Nas Seagate, Ironwolf 10Tb 7200rpm 256Mb, Sata 6Gb/s, 3,5Polegadas - St10000vn000;R$ 2.368,56
236;Adaptador Placa Conector Conversor Para SSD M2 Nvme Pci-e Pci Express 3.0 e 4.0, SSU SU-EM2-5010, + Dissipador De Calor, Em Alumínio;R$ 84,90
237;Case Caddy F3 P/ Notebook Sata, 12,7mm;R$ 20,40
238;HD Seagate 6TB Interno SkyHawk Surveillance, 5400 RPM, 256MB, 3.5, SATA 6 - ST6000VX001;R$ 1.140,62
239;HD Seagate 18TB Servidor Exos X18, 7200 RPM, 256MB, SATA, 6GBs, 512E, 4KN - ST18000NM001J;R$ 3.016,37
240;HD Interno Western Digital 12TB Purple PRO, 256MB, SATA III - WD121PURP;R$ 4.629,90
241;HD Externo Portátil Seagate 4TB Basic, USB 3.0 - STJL4000400;R$ 730,15
242;"Case Gaveta Hd Sata 2.5"" P/ Notebook USB 2.0 - CS-U2";R$ 23,93
243;HD Toshiba, 600GB, Sas 2,5, 15k  - Al13sxb600n;R$ 849,16
244;Case Para HD C3 Tech, 2.5, USB 2.0, Vermelho - CH-200-RD;R$ 30,41
245;HD Seagate 10TB, USB 3.0, Preto - STEL10000400;R$ 2.149,90
246;HD Externo Portátil Seagate 4TB Expansion, USB 3.0;R$ 1.029,35
247;Case Vention Gaveta HD Externo, Sata SSD, 2.5, USB, 3.0, 5GBPS;R$ 98,52
248;HD Toshiba 500GB, Para Notebook, 7.0Mm - Mq01abf050m;R$ 116,99
249;HD Seagate 4TB Servidor Exos 7E10, SAS, 7200 RPM, 256MB, 3.5, 12GB/S, 512E , 4KN - ST4000NM025B;R$ 1.403,28
