ID;Descrição;Preço em R$
74;Placa-Mãe Asus Prime H610M-K D4, Intel LGA 1700, mATX, DDR4, HDMI e VGA, M.2, USB 3.2 -90MB1A10-M0EAY0;R$ 649,90
75;Placa Mãe Msi Pro Z690-a, Lga 1700, Atx, Ddr5 - Pro Z690-a;R$ 1.349,98
76;Placa-Mãe Asus Prime R2.0 BR, Intel LGA 1151, mATX, DDR4 - H310M-E;R$ 629,99
77;Placa-Mãe Belmicro X99f Itzr, Lga 2011;R$ 539,10
78;Placa Mãe Gigabyte Z790 Aero G, Intel LGA1700, ATX, DDR5, Wi-Fi, Bluetooth - Z790 AERO G;R$ 3.999,99
79;Placa Mãe Asus Tuf Gaming B650m-plus, Am5, Microatx, DDR5;R$ 1.912,21
80;Placa Mãe Gigabyte Aorus B450 Elite V2, AMD B450, ATX, DDR4, (rev. 1.0);R$ 899,99
81;Placa Mãe Bluecase B75, DDR3, LGA 1155, Rede 1000, M.2 USB, 3.0 HDMI;R$ 239,80
82;Placa-Mãe AsRock H510M-HVS R2.0, Intel LGA 1200, mATX, DDR4 - 90-MXBGT0-A0BAYZ;R$ 512,10
83;Placa-Mãe, Msi Pro Z690-a, Wi-fi, DDR5 M.2, Lga1700 - 911-7d25-027;R$ 1.399,98
84;Placa-Mãe Asus TUF Gaming BR, Intel LGA 1151, mATX, DDR4 - B360M-PLUS;R$ 1.673,99
85;Placa Mãe Asus PRIME H770-PLUS D4, Intel, ATX, DDR4 - 90MB1CU0-M0EAY0;R$ 1.199,99
86;Placa Mãe Gigabyte H510m S2h V2, Intel Lga1200, Micro Atx, Ddr4;R$ 550,71
87;Placa-Mãe Biostar B450MHP, mATX, DDR4, Socket Am4, Chipset AMD B450;R$ 387,45
88;Placa Mãe Msi Pro Z690-a, DDR4, M.2 LGA1700, Wi-fi - 911-7d25-030;R$ 1.399,98
89;Placa Mãe Gigabyte H410m H V3, Intel, LGA 1200, Matx, DDR4, Chipset H510;R$ 523,79
90;Placa-Mãe Galax H310M Plus+, Intel LGA 1151, mATX, DDR4;R$ 488,61
91;Placa Mãe Gigabyte Z790 Aorus Elite X R1.0, DDR5, LGA1700;R$ 2.744,23
92;Placa-Mãe Asus TUF G Z690-PLUS D4, Intel 12ª Geração - 90MB18U0-C1BAY0;R$ 1.749,00
93;Placa-Mãe Biostar B660mx-E, Intel,  LGA 1700, M.2, DDR4, DVI + HDMI + VGA;R$ 651,55
94;Placa-Mãe AsRock, Intel 1151, 2xDDR4, HDMI, DVI e VGA, 9ª Geração - H370M-HDV;R$ 375,00
95;Placa Mae H110 Ex-b150m-v3 Asus 1151 O&m So Dvi, C/ Adap, P/ HDMI, Sem M2;R$ 359,00
96;Placa Mãe Asus Prime B760m-a D4, DDR4, Microatx, Lga1700;R$ 1.265,65
97;Placa Mãe Knup A320, Amd Ryzen, HDMI, DDR4, 32GB, 6 GB/s USB 3.0;R$ 337,25
98;Placa Mãe Asus Prime H510m-k R2.0 Lga 1200 - 90mb1e80-m0eay0;R$ 504,30
99;Placa-Mãe Gigabyte Z790 Gaming X AX, Intel LGA 1700, ATX, DDR5, Bluetooth 5.3;R$ 2.865,42
100;Placa Mãe Afox, Am4 Ddr4 HDMI Vga Dvi M.2 - B550-ma-v2;R$ 478,71
101;Placa-Mãe Gigabyte B450M DS3H V2, AMD AM4, mATX, DDR4, HDMI;R$ 730,00
102;Placa-Mãe AsRock, AMD FM2+ Radeon, DG3+ - FM2A68-M;R$ 354,51
103;Placa Mae Intel 1151 H110 M.2 2xDDR4 HDMI/VGA 6º 7º E 8º G G-h110 Revenger;R$ 483,90
104;Placa Mãe Afox, Am4 Ddr4 HDMI Vga M.2 - B550-ma-v4;R$ 395,01
