ID;Descrição;Preço em R$
115;Memória Corsair Value Select 4GB, 2133MHz, DDR4, CL15, para Notebook - CMSO4GX4M1A2133C15;R$ 99,99
116;Memória Corsair Vengeance LPX 32GB 3000MHz, DDR4, C16, Preto - CMK32GX4M1D3000C16;R$ 489,99
117;Memória Kingston Fury Beast para Intel XMP, 32GB (2x16GB), 6000MHz, DDR5, CL40, Preto - KF560C40BBK2-32;R$ 999,99
118;Memória XPG Spectrix D45G, RGB, 16GB, 3600MHz, DDR4, CL18, Preta - AX4U360016G18I-CBKD45G;R$ 339,99
119;Memória Kingston KVR, 8GB, DDR4, 2666MHz, CL19, para Notebook - KVR26S19S8/8;R$ 129,99
120;Memória Kingston Fury Beast, 16GB (2x8GB), 2666MHz, DDR4, CL16, Preto - KF426C16BBK2/16;R$ 329,99
121;Memória Corsair Vengeance LPX 64GB (2x32GB), 3200MHz, DDR4, C16, Preto - CMK64GX4M2E3200C16;R$ 1.049,99
122;Memória Crucial Basics, 4GB, 2666MHz, DDR4, CL19, para Notebook - CB4GS2666;R$ 79,99
123;Memória Corsair Vengeance LPX 16GB (2x8GB), 3000MHz, DDR4, CL15, Preto - CMK16GX4M2B3000C15;R$ 309,99
124;Memória Kingston Fury Beast, RGB, 32GB (2x16GB), 3600MHz, DDR4, CL18, Preto - KF436C18BBAK2/32;R$ 699,99
125;Memória Husky Gaming Storm RGB, 16GB, 3200MHz, DDR4 - CL22, Preto - HGMF021;R$ 249,99
126;Memoria RAM Battle-ax  Colorful,8 GB, 3200 Mhz DDR4,Cl16;R$ 131,12
127;Memória Gamer Xpg 8GB, Spectrix D35g, RGB, DDR4, 3200 Mhz, Branco - Ax4u32008g16a-swhd35g;R$ 167,31
128;Memória Corsair, 8GB, 1600MHz, DDR3, CL11 - CMV8GX3M1A1600C11;R$ 209,99
129;Memória Kingston Fury Beast RGB, 32GB (2x16GB), 3600MHz, DDR4, CL18, Preto - KF436C18BB2AK2/32;R$ 679,99
130;Memória Adata XPG, 8GB, 2666MHz, DDR4, CL19, Verde - AD4U26668G19-SGN;R$ 139,99
131;Memória Kingston Fury Beast, 8GB, 3200MHz, DDR4, CL16, Preto - KF432C16BB/8;R$ 139,91
132;Memória XPG Spectrix D50 RGB, 8GB, 3200MHz, DDR4, CL16, Branco - AX4U32008G16A-SW50;R$ 229,99
133;Memória Corsair Vengeance RGB RS, 8GB, 3200MHz, DDR4, C16, Preto - CMG8GX4M1E3200C16;R$ 189,99
134;Memória Crucial Basics, 16GB, 2666MHz, DDR4, CL19 - CB16GU2666;R$ 229,99
135;Memória Corsair Vengeance LPX 16GB, 2400MHz, DDR4, CL14, Preto - CMK16GX4M1A2400C14;R$ 269,99
136;Memória XPG Gammix D60G RGB, 8GB, 3200MHz, DDR4, CL16, Cinza - AX4U32008G16A-ST60;R$ 219,99
137;Memória Kingston, 8GB, 3200MHz, DDR4, CL22, Para Notebook - KVR32S22S8/8;R$ 181,20
138;Memória Kingston, 4GB, 1333MHz, DDR3, Para Notebook - KVR1333D3S9/4G;R$ 47,39
139;Memória Kingston Fury Beast, 8GB, 3600MHz, DDR4, CL17, Preto - KF436C17BB/8;R$ 179,99
140;Memória XPG Gammix D35, 16GB, 3200MHz, DDR4, CL16, Branco - AX4U320016G16A-SWHD35;R$ 249,99
141;Memória Kingston Fury Beast, 64GB (2x32GB), 3600MHz, DDR4, CL18, Preto - KF436C18BBK2/64;R$ 1.199,99
142;Memória Kingston, 16GB, 2666MHz, DDR4, CL19 - KVR26N19D8/16;R$ 239,99
143;Memória Corsair Vengeance LPX, 16GB (2x8GB), 3200MHz, DDR4, CL16, Branco - CMK16GX4M2B3200C16W;R$ 319,99
144;Memória Corsair, 8GB, 2666MHz, DDR4, C18, Preto - CMV8GX4M1A2666C18;R$ 149,99
145;Memória Husky Gaming Storm RGB, 8GB, 3200MHz, DDR4 - CL22, Dourada - HGMF019;R$ 164,99
146;Memória Corsair Dominator Platinum RGB, 32GB (2x 16GB), 5200MHz, DDR5, C40, Preto - CMT32GX5M2B5200C40;R$ 949,99
147;Memória Lexar, 8GB, 3200MHz, DDR4, CL22 - LD4AU008G-B3200GSST;R$ 119,99
148;Memória Lancer XPG, 16GB, 5200MHz, DDR5, CL38, Preto - AX5U5200C3816G-CLABK;R$ 399,99
149;Memória Ram Kingston Fury Beast, 16GB, DDR4, 3200MHZ, Preto - kf432c16bb/16;R$ 379,76
150;Memória Kingston Fury Impact, 16GB, 5600MHz, DDR5, CL40, para Notebook Gamer, Preto - KF556S40IB-16;R$ 479,99
151;Memória Corsair Vengeance RGB PRO SL, 16GB (2x8GB), 3200MHz, DDR4, CL16, Preto - CMH16GX4M2E3200C16;R$ 399,99
152;Memória Kingston Fury Beast para Intel XMP, RGB, 64GB (2x32GB), 5600MHz, DDR5, CL40, Preto - KF556C40BBAK2-64;R$ 1.799,99
153;Memória Ram Kingston Fury Beast, 8GB, 3200MHZ, DDR4, Preto - KF432C16BB/8;R$ 218,45
154;Memória Crucial, 8GB, 3200MHz, DDR4, CL22 - CT8G4DFRA32A;R$ 149,99
155;Memória Kingston Fury Beast, RGB, 16GB, 3200MHz, DDR4, CL16 - KF432C16BBA/16;R$ 263,05
156;Memória Husky Gaming Storm RGB, 16GB, 3200MHz, DDR4 - CL22, Dourada - HGMF022;R$ 249,99
