ID;Descrição;Preço em R$
79;Fonte Gamer Aerocool ATX KCAS, 700W, Sem Cabo, Preto - EN53381;R$ 312,80
80;Fonte C3Tech, 200W Real, Bivolt Manual, PS-200V4;R$ 47,15
81;Fonte Brazil PC ATX, 500W Real, 24 Pinos, Bivolt, Com Cabo - Bpc/5330;R$ 136,34
82;Fonte Safegamer, 550W, Full Modular, PFC Ativo;R$ 225,90
83;Fonte Xpg 650w, Pylon 80 Plus, Bronze PFC - Ativo;R$ 340,90
84;Fonte Redragon RGPS-500W, 500W, 80 Plus Bronze, PFC Ativo, Bivolt, Cabos Fixos - GC-PS001-1;R$ 304,00
85;Fonte Tronos Gamer ATX, 500W Real, PFC Ativo, Bivolt, 24 Pinos - TRS/500PFCA;R$ 150,32
86;Fonte XPG Pylon, 750W, 80 Plus Bronze;R$ 595,90
87;Fonte One Power, 600W, PFC Passivo, Bivolt, Sem Cabo, Preto e Verde - MP600W3-I;R$ 180,32
88;Fonte Vinik Slim SFX, 230W Real, Bivolt, Para Gabinete, Corp - VFS230;R$ 122,62
89;Fonte Redragon RGPS, 400W, 80 Plus White, PFC Ativo - GC-PS012;R$ 207,00
90;Fonte GAMDIAS Kratos E1, 500W, 110/220V Chaveada, LED RGB, Sem Cabo - GD-Z500ZZZ;R$ 199,90
91;Fonte BRX Rainbow, 650W, 80 Plus, PFC Ativo, Bivolt, RGB, RGB-650W;R$ 238,00
92;Fonte Corsair RM1000X 1000W, 80 Plus Gold, Full Modular, Bivolt, Sem Cabo, Preto - CP-9020201-WW;R$ 1.599,99
93;Fonte Vinik Slim TFX, 230W, Real, Bivolt, Com Cabo, Para Gabinete - VFT230;R$ 136,57
94;Fonte BRX Rainbow Series, 850W, 80 Plus Bronze, PFC Ativo, Bivolt, RGB, Com Cabo;R$ 314,50
95;Fonte Hoopson ATX, 230W - FNT-230;R$ 75,90
96;Fonte Ubiquiti Poe Para U6-lr/u6-pro 802.3at - U-poe-at;R$ 164,35
97;Fonte Cooler Master Elite Nex White 500, 500W, 80 Plus White, PFC Ativo, com cabo, Preto - MPW-5001-ACAW-BB1;R$ 389,99
98;Fonte Cougar Atlas, 650w, 80 Plus Bronze, Pfc Ativo, 31at065001p01;R$ 354,52
99;Fonte Redragon RGPS, 700W, Full Modular, Bivolt, FAN 140mm - GC-PS005;R$ 470,87
100;Fonte Duex 600fse++ 600w 80+ Bronze Pfc Ativo, Full Modular;R$ 278,26
101;Fonte Bright FT005, 1000W, Modular, sem cabo, Preto e Amarelo - FT005;R$ 499,99
102;Fonte ATX Gamemax Gx600, 600W, 80 Plus Gold, Pfc Ativo, Black - Gx600wbkpss7710br;R$ 359,90
103;Fonte Brazil PC Gamer ATX, 500W, 80 Plus Bronze, PFC Ativo - BPC/500;R$ 224,00
104;Fonte Cougar Atlas, 750W, 80 Plus Bronze, Pfc Ativo - 31at075003p01;R$ 472,06
105;Fonte DEX ATX Gamer, 500W Real, Bivolt, Silenciosa, Para PC, 24 Pinos;R$ 143,91
106;Fonte ATX Gamemax Gx800, 800W, 80 Plus Gold, Pfc Ativo, Black - Gx800wbkpss7710br;R$ 558,32
107;Fonte Gigabyte GP-P550B, 550W, 80 Plus Bronze - 28200-P550B-1;R$ 302,90
108;Fonte 600w 80 Plus, Bronze Cougar Atlas, Pfc Ativo, Preto - Cgr Ba-600;R$ 347,25
109;Fonte ASUS ROG Thor 1600T, 1600W, 80 Plus Titanium, Modular, PFC Ativo, sem cabo, Preto - 90YE00K0-B0BA00;R$ 6.299,99
110;Fonte Pcyes Electro V2, 750W, 80 Plus Bronze, PFC Ativo, Rev.2;R$ 484,97
111;Fonte Brazil PC Bpc-230, ATX 230W Real, 24 Pinos - OEM;R$ 51,65
112;Fonte, Aerocool, KCAS, 800W, 80 Plus Bronze, não-modular, PFC Ativo, bivolt automática, sem LED/RGB, com cabo;R$ 408,00
113;Fonte Gigabyte GP-P450B, 450W, 80 Plus Bronze - 28200-P450B-1BRR;R$ 269,10
114;Fonte Pcyes Spark, 600W, 75+, PFC Ativo, Cabos Flat - PXSP600WPT;R$ 270,13
115;Fonte Cooler Master ATX, 800W Real, 80 Plus Gold, MPW-8001-ACAAG-WO;R$ 822,91
116;Fonte Tronos Gamer ATX, 750W, Bivolt, 24 Pinos - TRS/7400-B;R$ 209,46
117;Fonte ATX Brazilpc, 230W Real, Bpc-230v1.2, O&m C/cabo;R$ 53,10
118;Fonte Cooler Master ATX MWE 650 White V2, 650W, Com Cabo, Para PC, MPE-6501-ACAAW-BR;R$ 542,40
119;Fonte Neologic Gamer, 600w, 80 Plus Bronze, Apfc, Com cabo - Nl-600;R$ 269,33
120;Fonte Aerocool KCAS, 500W, 80 Plus Bronze, PFC Ativo, 115-230V - EN53367;R$ 265,56
121;Fonte Maximus Real, 650w, Revenger, 80plus;R$ 597,78
122;Fonte Brazilpc Atx 500w Brazilpc Bpc/5350-m 24 Pinos Box;R$ 120,85
123;Fonte Neologic, ATX, 500W, 80 PLUS, PFC Ativo, Entrada Bivolt, Preto, Bronze - NL-500;R$ 199,00
124;Fonte ATX Mymax 1000W, 80 Plus Silver, Pfc Ativo, Modular - Mpsu/fp1000w;R$ 527,12
125;Fonte Vinik Dash Gamer, 350W, 110-230V, Preto - VFG350W P;R$ 123,90
126;Fonte de Alimentação Bluecase Blu500r-b, ATX 500w, 80 Plus, Bronze Pfc Ativo, Com cabo - Preto;R$ 252,61
127;Fonte C3Tech ATX, 200W, Sem Cabo, PS-200V3;R$ 69,99
128;Fonte Corsair 450w 80 Plus Bronze Atx Cv450 Preto Cp-9020209-br;R$ 479,90
129;Fonte Multi, 350W - GA350;R$ 219,90
130;Fonte K-Mex, 230W Real, SFX - PP-250;R$ 135,90
131;Fonte Automática Brx ATX, 650w, Preto/amarelo;R$ 155,56
132;Fonte Multi, 200W Real, Bivolt Manual - GA039;R$ 69,90
133;Fonte De Alimentação Pcyes Schocker 500w, 80 Plus, White, Pfc Ativo, Com Cabo;R$ 239,31
134;Fonte Power Station ATX, 500W, Bivolt, Preto - PS-500;R$ 120,38
135;Fonte Gamemax Gx650, 650W, 80 Plus Gold, Full Modular, Pfc Ativo - Gx650mbkv1s7710br;R$ 473,78
136;Fonte C3Tech ATX, 200W, Sem Cabo, PS-200V4;R$ 50,00
137;Fonte Cooler Master Gx750, 750W, 80 Plus Gold, Full Modular, PFC Ativo, Preto - Mpe-7501-Afaag;R$ 861,29
138;Fonte Gamer C3tech, 700W, 80 Plus Bronze, Pfc Ativo, ATX - Ps-G700b;R$ 370,23
139;Fonte Ipec, 2A, Com Timer;R$ 154,84
140;Fonte De Alimentação Concórdia 600w Real, 80 Plus, White, Automática, Com Pfc Ativo;R$ 251,10
141;Fonte Pixxo Sfx 200w Com Cabo Auto Pl200axs;R$ 168,08
142;Fonte 1200w Tt Toughpower Gf3 Modular Gold Ps-tpd-1200fnfagb-n;R$ 2.057,31
143;Fonte Brazilpc 500W Real, 80plus Bronze, 24 Pinos, ATX;R$ 200,52
144;Fonte Tronos Atx 230w Real Brazilpc Bpc-230v1.2, 230w O&m C/cabo;R$ 56,00
145;Fonte K-Mex, 200W, Com Cabo - PX300CNG0001B2X;R$ 90,54
146;Fonte Fortrek ATX 200w RMS Sem Cabo 20+4p;R$ 64,90
147;Fonte XPG Pylon, 550W, 80 Plus Bronze - PYLON550B-BKCBR 3422;R$ 456,55
148;Fonte Brazil PC ATX 800W, Real Pro Full Modular, 80plus, Bronze - Ps/Fm800brz80;R$ 429,00
149;Fonte K-Mex ATX, 200W, 12V, Com Cabo;R$ 53,10
150;Fonte C3tech Ps-201, 200w, ATX, Bivolt Manual - OEM;R$ 63,50
151;Fonte Redragon, 600W, 80 Plus Bronze, Modular - GC-PS003-1, 3007;R$ 418,00
152;Fonte De Alimentacao Pixxo, 200w, Atx S/ Cabo - Pf200sxjsc;R$ 69,92
153;Fonte Atx 500w Real Bpc/5350-m, 24 Pinos, Com Cabo Box;R$ 105,00
154;Fonte Cooler Master MWE, 550W, 80 Plus White, PFC Ativo, Com Cabo, Padrão Brasileiro, MPE-5501-ACAAW-BR;R$ 407,15
155;Fonte K-Mex ATX, 300W Real, 12 V2.31, Cooler de 120 mm - PK300RPF;R$ 175,90
156;Fonte De Alimentação Pcyes Schocker 600w, 80 Plus, White Pfc Ativo C/cabo;R$ 275,31
157;Fonte Evus Gamer, 600W, 80 Plus Bronze, LED RGB - EVG600;R$ 265,58
158;Fonte Draxen, 500W, 80 Plus Bronze, PFC Ativo, Com Cabo - DN500/BRONZE;R$ 342,32
159;Fonte Bright TFX 750W, Prata - FT007;R$ 253,99
160;Fonte BRX TFX, 400W;R$ 156,09
161;Fonte Aerocool 500W Chaveada VX-500, Bivolt, Sem Cabo de Força, EN57136;R$ 174,24
162;Fonte Thermaltake Toughpower 1050w Gf A3, 80 Plus Gold, Pfc Ativo, Full Modular, Branca - Ps-tpd-1050fnfagb-n;R$ 1.561,41
163;Fonte Gigabyte, ATX 650W, 80 Plus Bronze, Com Cabo Preto;R$ 383,65
164;Fonte Cooler Master G700, 700W, 80 Plus Gold, PFC Ativo, MPW-7001-ACAAG-WO;R$ 549,90
165;Fonte Redragon RGPS-600W, 600W, PFC Ativo, Bivolt, Cabos Fixos, Sem Cabo de Força, FAN 14cm, GC-PS002-1;R$ 336,00
166;Fonte Brx ATX 400w, Automática;R$ 168,19
167;Fonte Pcyes Spark, 400W, 75+, PFC Ativo, Cabos Flat - PXSP400WPT;R$ 210,04
168;Fonte Corsair ATX CX550F, 550W Real, RGB - CP-9020225-BR;R$ 1.179,90
169;Fonte Gamemax Gx1050 Pro 1050w, 80 Plus, Platinum Full Modular Pfc Ativo, Metal - Gx1050prsls8810br;R$ 869,90
170;Fonte Revenger 750W 80 Plus Bronze, PFC, Ativo Fo-max03;R$ 360,95
171;Fonte C3Tech ATX, 350W Real, Bivolt, Manual, PS-350;R$ 124,44
172;Fonte ATX Gamemax Gx700, 700W, 80 Plus Gold, Pfc Ativo, Black - Gx700wbkpss7710br;R$ 424,50
173;Fonte Redragon, ATX 1000w, 80 Plus, Platinum, Preto, Full Modular;R$ 1.345,00
174;Fonte Knup Gamer ATX, 400W, Bivolt, 24 Pinos - KP-532;R$ 392,88
175;Fonte Knup ATX Cowboy Gamer, 600W;R$ 333,87
176;Fonte Cougar ATX, 400W, 80 Plus White - 31VC040008P01;R$ 318,40
177;Fonte Duex ATX, 200W;R$ 62,22
