ID;Descrição;Preço em R$
189;Cooler Fan Hyrax, 5 Unidades, 120mm, ARGB, Rosa - HCL605P;R$ 149,99
190;Cooler para Processador Cooler Master MasterAir MA612, AMD/Intel, FAN 120mm, Preto - MAP-T6PS-218PK-R1;R$ 499,99
191;Water Cooler Corsair iCUE H150i Elite LCD XT, RGB, 360mm, AMD e Intel, Branco - CW-9060077-WW;R$ 1.799,99
192;Cooler FAN Noctua Redux Edition, 120mm, para PC, Cinza - NF-S12B redux-1200 PWM;R$ 119,99
193;Cooler FAN C3Tech Storm, 120mm - F7-100BK;R$ 12,64
194;Kit 2 Cooler FAN NZXT, 140mm, RGB, com Controlador, Preto - RF-R14DF-B1;R$ 359,99
195;Cooler Fan Corsair LL120, 120mm, RGB, Branco - CO-9050091;R$ 129,99
196;Cooler Fan Knup, 80MM, Ventoinha Para Gabinete e Cpu Silencioso - 12VDC;R$ 9,05
197;Cooler Fan Corsair LL120, 3 Unidades, 120mm, RGB, Branco - CO-9050092-WW;R$ 399,99
198;Cooler Para Processador Redragon TYR, LED Azul, Intel e AMD, 120mm, PWM, FAN, 4 Heat Pipes, TDP 130W - CC-9104B;R$ 89,91
199;Cooler FAN Noctua NF-A12x15 PWM, 120mm, para PC, Preto - CH.BK.S;R$ 219,99
200;Kit Fan Liketec, C/ 3 Unidades, RGB, 120mm, Lighter, Com Controladora, 47cfm;R$ 116,01
201;Cooler Fan Noctua, 120mm, Preto e Marrom - NF-F12 iPPC 3000 IP67 24V Q100 PWM;R$ 259,99
202;Pasta Térmica Noctua, 10g - NT-H2-10;R$ 199,99
203;Water Cooler Corsair H100x RGB Elite, RGB, 240mm, AMD e Intel, Preto - CW-9060065-WW2;R$ 649,99
204;Cooler Fan DeepCool RF 120, 3 Unidades, 120mm, RGB, Preto - DP-FRGB-RF120-3C;R$ 219,99
205;Pasta Térmica Thermal Silver Seringa, para Processador Note E Pc, com pazinha, Prata, 30g - Ps-08;R$ 23,19
206;Kit Cooler FAN com 3 Unidades Rise Mode, 120mm, RGB, Laser - RM-RGB-05-5V;R$ 159,90
207;Water Cooler Asus Rog Strix LC II, 240 ARGB, 240mm, AMD e Intel, para PC - 90RC00E1-M0UAY1;R$ 899,99
208;Cooler FAN Corsair AF120 Elite, 120mm, Intel e AMD, Branco - CO-9050142-WW;R$ 99,99
209;Cooler Fan Noctua 120mm, Marrom - NF-S12A PWM;R$ 139,99
210;Cooler FAN Mymax Spectrum Ring, 120mm, LED Verde;R$ 8,71
211;Cooler Para Processador Gamemax Gamma 200, RGB;R$ 32,15
212;Water Cooler Rise Mode ARGB, 120mm, AMD/Intel, Preto - RM-WCB-05-ARGB;R$ 199,99
213;Cooler FAN EOX, 120mm, 3/4pin, Preto - E120;R$ 15,00
214;Cooler Fan Evus Ev12025fan, 120Mm, 2200RPM, Molex;R$ 11,02
215;Cooler para Processador Cooler Master MasterAir MA824 Stealth, RGB, Intel-AMD, 120mm, Preto - MAM-D8PN-318PK-R1;R$ 749,99
216;Cooler Fan Noctua Redux-1300, 120mm, Cinza - NF-P12 redux-1300;R$ 119,99
217;Water Cooler Corsair iCUE H115i Elite Capellix XT, RGB, 140mm, Intel e AMD, Preto - CW-9060069-WW;R$ 829,99
218;Cooler FAN NZXT F140P, 140mm, Pressão Estática, Branco - RF-P14SF-W1;R$ 99,99
219;Kit De Fan Lian Li Uni Fan Sl120 Redragon Spec - Preto;R$ 489,99
220;Water Cooler Asus ROG RYUO III 360, ARGB White Edition, 360mm, AMD e Intel, para PC - 90RC00I2-M0UAY0;R$ 1.899,99
221;Cooler FAN Gamemax Big Bowl, 120mm, ARGB, Preto - GMX-12-DBB;R$ 21,51
222;Cooler Para Processador Intel, All Black - K69237-001;R$ 71,10
223;Pasta Térmica Arctic, Mx-4, 4G - Actcp00002b, 8.5 W/mk;R$ 59,89
224;Cooler Para Processador, Bluecase, Universal, Intel e AMD, 95W, FAN, Azul - BC-04UABX;R$ 33,22
225;Water Cooler Asus ROG STRIX LC II 280, ARGB, 280mm, AMD e Intel, para PC - 90RC00C1-M0UAY1;R$ 899,99
226;Water Cooler ASUS Tuf Gaming LC, 120mm, ARGB, AMD e Intel, para PC, Preto - 90RC00H1-M0UAY1;R$ 379,99
