ID;Descrição;Preço em R$
90;Processador Intel Core I5-4570 4ª Geração, 3.20GHz, Smart Cache 6MB, Quad Core, LGA 1150, OEM;R$ 206,59
91;Processador Intel Core i3-13100F, 4.5GHz Max Turbo, Cache 12MB, 4 Núcleos, 8 Threads, LGA 1700 - BX8071513100F;R$ 679,99
92;Processador Intel Core i5-14600K, 14ª Geração, 5.3 GHz Max Turbo, Cache 24MB, 14 Núcleos, 20 Threads, LGA1700 - BX8071514600K;R$ 2.199,99
93;Processador Intel Core i7-11700K 11ª Geração, 3.6 GHz (4.9GHz Turbo), Cache 16MB, Octa Core, LGA 1200, Vídeo Integrado - BX8070811700K;R$ 1.838,99
94;Processador AMD Ryzen 7 7700X, 5.4GHz, Cache 40MB, AM5, Radeon Graphics Com Vídeo - 100-100000591WOF;R$ 2.202,21
95;Processador AMD Athlon 3000g AM4, 2 Núcleos, 4 Threads, 3.5GHZ, 5MB Cache - Yd3000c6fhsbx;R$ 333,81
96;Processador Intel Core I5-3570, 3.40GHz, LGA 1155, OEM;R$ 186,35
97;Processador Intel 11700F Core I7 11ª Geração, 2.50GHz, Box - BX8070811700F;R$ 1.938,50
98;Processador AMD Ryzen 5 7600, 3.8GHz (5.1GHz Turbo), Cache 32MB, Hexa Core, 12 Threads, AM5, Wraith Stealth - 100-100001015BOX;R$ 1.629,00
99;Processador Intel Core I3 4130 4ª Geração, 3.40GHz, Cache 3MB, Dual Core, 4 Threads, LGA 1150, OEM;R$ 47,85
100;Processador Intel Core i9-11900K 11ª Geração, 3.5 GHz (5.1GHz Turbo), Cache 16MB, Octa Core, LGA1200, Vídeo Integrado - BX8070811900K;R$ 2.199,99
101;Processador Intel Core I7 14700kF 14 Geração, 3.4 Ghz (5.6GHZ Turbo), 33MB, Cache, LGA1700 - Bx8071514700kf;R$ 2.880,03
102;Processador Intel Core i5-10600KF, 4.1GHz, Cache 12MB, LGA 1200 - BX8070110600KF;R$ 948,99
103;Processador AMD Athlon 3000G, 3.5GHz, Cache 5MB, Dual Core, 4 Thread, AM4, Radeon VEGA 3 - YD3000C6FBBOX;R$ 349,90
104;Processador Intel Core i9-12900F, Cache 30MB, 2.4GHz (5.1GHz Max Turbo), LGA 1700 - BX8071512900F;R$ 2.649,99
105;Processador Intel G7400 Pentium Gold, 3.70GHz, Cache 6MB, 4 Threads, 1700, Box - BX80715G7400;R$ 627,35
106;Processador Intel Core I9-12900K 12ª Geração, 3.2GHz (5.2GHz Max Turbo), Cache 30MB, Octa Core, 24 Threads, LGA 1700, Vídeo Integrado - BX8071512900K;R$ 2.822,47
107;Processador Intel Core I7-10700f, Cache 16MB, 2.9ghz, 4.8ghz Max Turbo, LGA 1200;R$ 1.575,00
108;Processador AMD FX-8300, 4.2GHz, Cache 8MB, Octa Core, 8 Threads, AM3+, OEM;R$ 387,91
109;Processador Intel Core I5 14600kf 14 Geração, 3.5 Ghz (5.3 Ghz Turbo), Cache 24MP, LGA1700 - Bx8071514600kf;R$ 2.127,12
110;Processador Amd Ryzen 5 5600gt, 4.6GHZ, 19MB Cache, AM4, Wraith Stealth - 100-100001488box;R$ 970,88
111;Processador Intel Core I5 3570 3ª Geração, 3.40GHz, Cache 6MB, LGA 1155, OEM;R$ 129,10
112;Processador Intel Core I5-10400, 2.90GHz (4.3GHz Turbo), Hexa Core, Cache 12MB, LGA 1200 - BX8070110400;R$ 794,27
113;Processador Intel Core I5-10400F, 2.90GHz (4.3GHz Turbo), Hexa Core, Cache 12MB, LGA 1200 - BX8070110400F;R$ 665,46
114;Processador Intel I7-4770,3,9ghz,8MB Cache - FCLGA1150;R$ 359,00
115;Processador Intel Core I5 4590, 3.7GHz, Cache 6MB, 1150, Sem Cooler;R$ 166,00
116;Processador Intel Core I5, 3.30GHz, Quad Core, 4 Threads, HD Graphics 4600, OEM;R$ 210,95
117;Processador Intel I3-12100F, 3.3GHz, Cache 12MB, Quad Core, 8 Threads, LGA 1700 - BX8071512100F;R$ 648,31
118;Processador Intel Celeron G5905, 10ª Geração, 3.50GHz, Cache 4MB, Dual Core, 2 Threads, LGA 1200, Intel UHD Graphics 610 - BX80701G5905;R$ 233,10
119;Processador AMD Ryzen R9 5950X, 3.4GHz, Cache 64MB, Hexa Core, 32 Threads, AM4 - 100-000000059;R$ 3.053,58
120;Processador Intel Core I3-12100, 3.30GHz, Cache 12MB, LGA 1700;R$ 850,74
121;Processador AMD Ryzen 9 7900, 3.7GHz (5.4GHz Max Turbo), Cache 64MB, 12 Cores, 24 Threads, AM5, Wraith Prism - 100-100000590BOX;R$ 2.610,87
122;Processador Intel Core I7-11700 11ª Geração, 2.5GHz (4.9GHz Turbo), Cachê 16MB, LGA 1200 - BX8070811700;R$ 2.665,62
123;Processador Intel Core I7-10700F 10ª Geração, 2.9GHz (4.8GHz Turbo), Cache 16MB, LGA 1200 - BX8070110700F;R$ 2.444,99
124;Processador Intel I7-8700 / 4,6ghz / 12mb Cache / Fclga1151;R$ 999,00
125;Processador Intel Core I7-6700, 3.40GHz, Quad Core, 8 Threads, OEM;R$ 842,62
126;Processador Intel Core I7 14700k, 5.60ghz Max Turbo, 20-core, 28-threads, LGA 1700;R$ 3.085,29
127;Processador Intel Core I7-12700K, 3.6GHz (5.0GHz Max Turbo), Cache 25MB, LGA 1700 - BX8071512700K;R$ 2.347,56
128;Processador Intel Core I5 3470 3ª Geração, 3.20GHz, Cache 6MB, Quad Core, 4 Threads, LGA 1155, OEM - 326B770;R$ 123,30
129;Processador Intel Core I5 14600k 14 Geração, 3.5 Ghz (5.3 Ghz Turbo), Cache, 24MB, LGA1700 - Bx8071514600k;R$ 2.243,61
130;Processador Amd Ryzen 7 8700g, 4.2GHZ (5.1GHZ MAX), Cache 24MB, AM5, Sem Cooler - 100-100001236box;R$ 2.601,90
131;Processador AMD Ryzen 5 5600g 3.9GHz, Cache 16MB, AM4 - OEM;R$ 854,10
132;Processador Intel Core I5 3470, 2.9GHZ (3.6ghz Turbo), 4 cores, 4 threads, LGA 1155 Oem;R$ 288,00
133;Processador Intel Pentium Gold G6405 10ª Geração, 4.10GHz, Dual Core, 4 Threads, LGA 1200 - BX80701G6405;R$ 515,38
134;Processador Intel Core I7-11700K 11ª Geração, 3.6GHz (4.9GHz Turbo), Cache 16MB, LGA 1200 - BX8070811700K;R$ 1.979,10
135;Processador Intel Core I5 14400, 14ª Geração 3.5 Ghz, 4.7 Ghz Turbo, Cache 20mb, LGA1700 - Bx8071514400;R$ 1.719,68
136;Processador Intel Core I7 4770, 3.40ghz 8MB - Lga 1150 - 4ª Geração Oem;R$ 420,05
137;Processador AMD Ryzen 7 5800X3D, 3.4GHz - 100100000651WOFI;R$ 2.535,16
138;Processador Intel Core I5-12600K, 3.7GHz, Cache 20MB, LGA 1700;R$ 1.573,43
139;Processador AMD Ryzen Radeon 9 7950X, 2200MHz, Cache 80MB, 1Hexa Core, AM5, Vídeo Integrado - 100-100000514WOF;R$ 3.577,55
140;Processador Intel Core I5 2400 3.10ghz, LGA 1155, 2a Geração;R$ 150,00
141;Processador Intel Core I9 10900KF, 5.30GHz, Box - BX8070110900KF;R$ 2.221,82
142;Processador Intel I5-11400F, 2.6GHz, Cache 12MB, Hexa Core, 12 Threads, LGA 1200 - BX8070811400F;R$ 811,89
143;Processador Intel Core I5, 8500, 4.1ghz, LGA1151, 8 Geração Oem;R$ 645,06
144;Processador Intel Celeron G5905, 4MB, 3.5ghz, LGA 1200, Bx80701g5905;R$ 334,95
145;Processador Intel I3-10105F, 3.7GHz, Cache 6MB, Quad Core, 8 Threads, LGA 1200 - BX8070110105F;R$ 404,10
