ID;Descrição;Preço em R$
100;SSD 500GB Bx500 Sata 3 Ct500bx500ssd1 Crucial.;R$ 299,78
101;SSD Kingston A400 240GB 2.5 polegadas, Sata Iii, Leitura 500MB/S, Gravação 350MB/S - Sa400s37/240g;R$ 158,65
102;SSD Western Digital 480GB, Leitura 545MB/s E Gravação 430MB/s, 2.5p, SATA 3 - Wds480g2g0a;R$ 199,90
103;SSD 2 TB WD Black SN770, M.2, PCIe Gen4x4, NVMe, Leitura: 5150MB/s e Gravação: 4850MB/s - WDS200T3X0E;R$ 1.099,99
104;Case Adaptador Ugreen SSD M.2 NVME USB 3.1 Tipo C 10GB;R$ 218,81
105;SSD 1TB Corsair MP600 PRO, PCIe Gen 4.0 x4 NVMe M.2, Leitura: 7000MB/s e Gravação: 5500MB/s, Preto - CSSD-F1000GBMP600PRO;R$ 599,99
106;SSD 1TB Kingston Nv2, M.2 2280 PCIe, NVMe, Leitura 3500MB/s, Gravação 2100MB/s - Snv2s/1000g;R$ 418,28
107;SSD Kingston A400, 960GB, SATA - SA400S37/960G;R$ 374,60
108;SSD Western Digital 1TB Green, 2.5p, SATA 3 - Wds100t3g0a;R$ 364,44
109;SSD 250GB WD Blue SN580 NVMe, M.2 PCle, Gen4, Leitura 4000 e Gravação 2000 - WDS250G3B0E;R$ 199,99
110;Drive SSD Sata3 2.5 Crucial, 240GB - CT240BX500SSD1;R$ 199,99
111;SSD WD Green SN350 2TB, M.2 2280, PCIe, NVMe, Leitura: 3200MB/s, Gravação: 900MB/s, Verde - WDS200T3G0C;R$ 739,99
112;SSD 1 TB WD Green, SATA III, Leitura: 545MB/s e Gravação: 550MB/s - WDS100T3G0A;R$ 399,99
113;SSD Lexar 960GB Sata, Leitura 550MB/s, 2.5, Cinza - LNQ100X960G-RNNNU;R$ 389,99
114;Ssd Pctop 2.5 240gb 2.5 Sata - Gc25 240gb;R$ 102,00
115;SSD Rise Mode 1TB Gamer Line, SATA, Leitura: 535MB/s e Gravação: 435MB/s, Preto - RM-SSD-1TB;R$ 379,99
116;SSD Gamer 256 GB Multi, M.2 2280, PCIe, NVMe, P2400 e Gravação: AtÃ© 1700 MB/s - SS510;R$ 99,99
117;SSD Externo Samsung 1TB, T7 Shield, USB, Leitura 1050MB/s e Gravação 1000MB/s - MU-PE1T0S/WW;R$ 649,99
118;SSD Rise Mode Gamer M.2 Z Series 1TB M.2, NVMe, Leitura: 2200MB/s e Gravação: 1800MB/s - RM-SSD-1TB-M2;R$ 379,99
119;SSD 500GB Corsair MP600 GS, PCIe Gen 4.0 x4 NVMe M.2, Leitura: 4800MB/s e Gravação: 3500MB/s, Preto - CSSD-F0500GBMP600GS;R$ 299,99
