ID;Descrição;Preço em R$
90;Kit Powerpc Pl Mãe H61 + Processador I3 3220 + Cooler;R$ 280,63
91;Kit Powerpc Placa-Mãe H110 + Processador I7 6700 + Memória 16GB DDR4 + Cooler + M.2 256GB;R$ 1.399,51
92;Kit Upgrade AMD Ryzen 5 4600G, 12 Threads, AM4 + Placa Mãe A320m, Prime Asus, Socket AM4;R$ 1.397,70
93;Kit Placa Mãe H110 + Processador I5 9500 + Memória 16GB DDR4 + Cooler + M.2 512GB - Powerpc;R$ 1.586,34
94;Kit Upgrade Powerpc: Placa Mãe H61 + Processador I3 3220 + Memória 8 GB DDR3 + Cooler + SSD 120GB;R$ 412,28
95;Kit Upgrade - Placa-Mãe Storm-Z H510 + Processador I3 10100f + Cooler;R$ 961,38
96;Kit Upgrade Verdant AMD Ryzen 5 4500, Placa Mãe A320m, 16GB DDR4;R$ 1.418,61
97;Kit Upgrade Neologic - Nli84724, Intel I5 13400f, Placa Mãe H610, 16GB DDR4;R$ 3.107,03
98;Kit Upgrade - Placa-Mãe Storm-Z H81 + Processador I3 4130 + Cooler;R$ 366,67
99;Kit Placa Mãe H81 + Processador I5 4570 + Cooler;R$ 587,44
100;Kit Upgrade com Placa Mãe H310 + Processador I5 6500 + Memoria 8GB DDR4 + Cooler + M.2 512GB;R$ 989,69
101;Kit Upgrade Processador Amd Ryzen™ 5 4600g + Placa Mãe Gigabyte  A520m S2h + Memória 8gb Ddr4;R$ 1.898,99
102;Kit Upgrade AMD Ryzen 5 4500, Placa Mãe A520m, 32GB, DDR4, Neologic - NLI84629;R$ 2.022,80
103;Kit Upgrade Powerpc: Placa Mãe H61 + Processador I3 2100 + Memória 8 GB DDR3 + Cooler + SSD 240GB;R$ 437,52
104;Kit Upgrade - Processador AMD Ryzen 3 4100 + Placa-Mãe A320m, AM4, DDR4;R$ 1.413,90
105;Kit Upgrade Amd Ryzen 7 5700g, Placa Mãe A520m-e Prime Asus, Neologic - Nli84114;R$ 2.353,39
106;Kit Upgrade Powerpc Pl Mãe H61 + Processador I3 3220 + Memoria 8 GB DDR3 + Cooler;R$ 345,95
107;Kit Upgrade, Placa Asus Proc, I5 11400f, 16GB DDR4, 3200mhz;R$ 2.160,00
108;Kit Upgrade com Placa Mãe H310 + Processador I5 8500 + Memória 16GB DDR4 + Cooler + SSD M.2 512GB;R$ 1.381,74
109;Kit Powerpc Placa-Mãe H61 + Processador I3 2100 + Memória 4GB DDR3 + Cooler+ M.2 256GB;R$ 414,62
110;Kit Placa Mãe H110 + Processador I5 9500 + Memória 8GB DDR4 + Cooler + M.2 512GB - Powerpc;R$ 1.474,42
111;Kit Upgrade Intel Core I3 10105f / Placa Mãe Asus Prime H510m-e;R$ 1.049,90
112;Kit Upgrade Deutel Intel I5 3470 + Placa H61 1155;R$ 380,70
113;Kit Upgrade Placa Mãe H81 + Processador I7 4770 + Memoria 8 Gb Ddr3 + Cooler;R$ 664,46
114;Kit Upgrade Kaikora, Placa-Mãe H410 Gigabyte, Processador Intel I5 10400F, Memória 16GB DDR4;R$ 1.898,00
115;Kit Upgrade Intel I5 3470 + Placa H61 1155 + 8GB 1600 Mhz;R$ 457,20
116;Kit Upgrade Kaikora, Placa H110, Intel Core I7 7700 7ª Geração + Memória 16GB DDR4;R$ 1.710,00
117;Kit Upgrade - Placa-Mãe Storm-Z H81 + Processador I5 4590 + Cooler + RAM 8GB;R$ 462,37
118;Kit Powerpc Placa-Mãe H61 + Processador I3 3220 + Memória 4GB DDR3 + Cooler + M.2 256GB;R$ 422,93
119;Kit Placa Mãe H110 + Processador I5 9500 + Memória 16GB DDR4 + Cooler - Powerpc;R$ 1.377,04
120;Kit Upgrade Deutel Intel I5 3470 + Placa H61 1155 + 8GB + Ssd 120GB;R$ 567,00
121;Kit Pl Mãe H81 + Processador I5 4570s  + Memoria 4 Gb Ddr3 + Cooler;R$ 668,44
122;Kit Upgrade - Placa-Mãe H110 + Processador I7-6700 + Memória 8GB DDR4 + Cooler + SSD 1TB M.2;R$ 1.489,99
123;Kit Upgrade Kaikora, Intel I5 10ª Geração C + Ví­deo Integrado + 8GB DDR4;R$ 2.009,00
124;Kit Upgrade - Placa-Mãe H81 + Proc. I3 4130 + Memória 16GB DDR3 + Cooler + SSD 480;R$ 629,59
125;Kit Placa Mãe H81 + Processador I5 4570s  + Memoria 4GB DDR3 + Cooler;R$ 447,16
126;Kit Upgrade - Placa-Mãe Storm-Z H81 + Processador I5 4590 + Cooler + Ram 16GB;R$ 559,86
127;Kit Placa Mãe H110 + Processador I7 7700 + Memória 16GB DDR4 + Cooler + M.2 512GB - Powerpc;R$ 1.634,28
128;Kit Pl Mãe H110 + Processador I3 7100 + Memória 16GB DDR4 + Cooler + M.2 256GB;R$ 948,36
129;Kit Upgrade - Processador Intel Core I5 10400 + Placa-Mãe Asrock H510m-Hvs + Memória RAM 16GB, 2666GHz, DDR4;R$ 2.090,70
130;Kit Placa-Mãe H61 + Processador I3 2100 + Memória 8Gb DDR3 + Cooler+ SSD 240GB M2;R$ 439,04
131;Kit Upgrade - Placa Mãe H61 + Processador I5 3470s + Memoria 8GB, DDR3 + Cooler;R$ 405,00
132;Kit Placa-Mãe H61 + Processador I5 2400 + Memoria 4GB DDR3 + Cooler;R$ 349,15
133;Kit Upgrade AMD Ryzen 5 4600g + Placa Mãe A320 + RAM 8GB DDR4 + SSD 120GB;R$ 1.439,91
134;Kit Upgrade  Placa Mãe H61 Goline + Processador I3 2120 + Memória 8 Gb Ddr3 + Cooler - Oem;R$ 315,00
135;Kit Placa Mãe H81 + Proc I3 4130 + Memoria 8 Gb Ddr3 + Cooler + Ssd 480;R$ 578,38
136;Kit Upgrade Kaikora, Intel Processador I5 10400F + Memória 16GB DDR4, Dual-channel;R$ 1.990,00
137;Kit Pc Smart Pc Smt84052 Intel I5, 2400 Placa Mãe H61 Afox;R$ 417,51
138;Kit Upgrade Neologic Nli84111 Amd Ryzen 5 5600g, Placa Mãe A520m-e Prime Asus;R$ 1.734,46
139;Kit Upgrade - Placa-Mãe Storm-Z H510 + Processador I3 10100f + Cooler + RAM 8GB;R$ 1.043,77
140;Kit Upgrade - Placa-Mãe Storm-Z H110, DDR3 + Processador I3 6100 + Cooler + RAM 8GB;R$ 593,44
141;Kit Upgrade Intel I3 10100f + Asrock H510m-hvs + Memoria 8GB;R$ 1.371,60
142;Kit Upgrade - Processador Intel Core I3 10100F + Placa-Mãe Asrock H510m-Hvs;R$ 1.235,70
143;Kit Upgrade Deutel Intel I5 2400 + Placa H61 1155 + 4GB 1600 Mhz;R$ 414,90
144;Kit Upgrade - Placa-Mãe Storm-Z H510 + Processador I3 10100f + Cooler + VGA GT210;R$ 1.107,74
145;Kit Upgrade Neologic - Nli84723, Intel I5 13400f, Placa Mãe H610, 8GB DDR4;R$ 2.969,48
146;Kit Upgrade, Placa Mãe H61 + Proc I3 3220 + Mem 16Gb Ddr3 + Cooler + SSD120;R$ 454,00
